app_id,is_free,price_usd,release_date_str,genres_csv,categories_csv,scraped_utc
1827980,TRUE,,"Apr 30, 2022",Casual|Indie|Simulation|Strategy|Free To Play,Single-player|Steam Achievements|Steam Cloud,2026-02-27T20:39:43+00:00
1836120,FALSE,0.49,"Jan 12, 2022",Action|Adventure|Casual|Indie,Single-player|Steam Achievements|Steam Trading Cards|Partial Controller Support|Family Sharing,2026-02-27T20:39:44+00:00
1839950,FALSE,39.99,"Feb 21, 2024",Strategy,Single-player|Multi-player|PvP|Online PvP|Family Sharing,2026-02-27T20:39:45+00:00
1843840,FALSE,19.99,"Feb 12, 2026",Action|Early Access,Single-player|Multi-player|Co-op|Online Co-op|Steam Achievements|Steam Trading Cards|Steam Cloud|Family Sharing,2026-02-27T20:39:46+00:00
1845910,FALSE,59.99,"Oct 31, 2024",Action|Adventure|RPG|Strategy,Single-player|Steam Achievements|Full controller support|Steam Trading Cards|Color Alternatives|Custom Volume Controls|Adjustable Difficulty|Save Anytime|Stereo Sound|Subtitle Options|Surround Sound|Steam Cloud|Remote Play on TV|HDR available|Family Sharing,2026-02-27T20:39:46+00:00
1846380,FALSE,69.99,"Dec 1, 2022",Action|Racing,Single-player|Multi-player|PvP|Cross-Platform Multiplayer|Steam Achievements|Chat Speech-to-text|Adjustable Difficulty|Keyboard Only Option|Playable without Timed Input|Stereo Sound|Surround Sound|Partial Controller Support|HDR available,2026-02-27T20:39:47+00:00
1847520,TRUE,,"Jan 20, 2022",Action|Adventure,Single-player|Game demo|Steam Achievements|Full controller support|Steam Cloud,2026-02-27T20:39:47+00:00
1849250,FALSE,49.99,"Nov 2, 2023",Racing|Simulation|Sports,Single-player|Multi-player|PvP|Online PvP|Cross-Platform Multiplayer|Steam Achievements|Full controller support|VR Supported|Chat Speech-to-text|Chat Text-to-speech|Color Alternatives|Adjustable Difficulty|Keyboard Only Option|Playable without Timed Input|Stereo Sound|Surround Sound|Steam Cloud|HDR available,2026-02-27T20:39:48+00:00
1850570,FALSE,39.99,"Mar 30, 2022",Action|Adventure,Single-player|Steam Achievements|Full controller support|Steam Trading Cards|Adjustable Text Size|Camera Comfort|Custom Volume Controls|Adjustable Difficulty|Playable without Timed Input|Save Anytime|Stereo Sound|Subtitle Options|Surround Sound|Steam Cloud|HDR available|Family Sharing,2026-02-27T20:39:48+00:00
1857080,FALSE,19.99,"Feb 3, 2026",Indie|Simulation|Strategy,Single-player|Steam Workshop|Steam Cloud|Includes level editor|Family Sharing,2026-02-27T20:39:49+00:00
1857090,FALSE,14.99,"Jul 18, 2024",RPG|Simulation|Strategy|Early Access,Single-player|Steam Achievements|Adjustable Text Size|Camera Comfort|Color Alternatives|Custom Volume Controls|Adjustable Difficulty|Playable without Timed Input|Save Anytime|Stereo Sound|Steam Cloud|Family Sharing,2026-02-27T20:39:49+00:00
1857950,FALSE,19.99,"Oct 24, 2025",Action|RPG|Simulation|Early Access,Single-player|Multi-player|PvP|Online PvP|Co-op|Online Co-op|Adjustable Text Size|Camera Comfort|Custom Volume Controls|Adjustable Difficulty|Save Anytime|Stereo Sound|Surround Sound|Steam Cloud|Family Sharing,2026-02-27T20:39:50+00:00
1863430,FALSE,24.99,"Mar 6, 2025",Action|Early Access,Single-player|Full controller support|Steam Cloud|Family Sharing,2026-02-27T20:39:50+00:00
1865780,TRUE,,"Mar 25, 2022",Indie|RPG|Strategy,Single-player|Full controller support|Steam Cloud,2026-02-27T20:39:51+00:00
1868140,FALSE,19.99,"Jun 28, 2023",Adventure|Casual|RPG|Simulation,Single-player|Steam Achievements|Full controller support|Steam Trading Cards|Steam Cloud|Family Sharing,2026-02-27T20:39:51+00:00
1869780,FALSE,14.99,"Jul 22, 2025",Action|Adventure|Indie|RPG|Early Access,Single-player|Multi-player|Co-op|Shared/Split Screen Co-op|Shared/Split Screen|Steam Achievements|Full controller support|Steam Workshop|Camera Comfort|Custom Volume Controls|Adjustable Difficulty|Steam Cloud|Remote Play Together|Family Sharing,2026-02-27T20:39:52+00:00
1870460,FALSE,9.99,"Feb 19, 2026",Action|Adventure,Single-player|Partial Controller Support|Family Sharing,2026-02-27T20:39:52+00:00
1874170,FALSE,29.99,"Mar 16, 2022",Action|Simulation|Sports,Single-player|Multi-player|Co-op|Online Co-op|Cross-Platform Multiplayer|Steam Achievements|Full controller support|Steam Cloud|Remote Play on TV|Family Sharing,2026-02-27T20:39:53+00:00
1874880,FALSE,39.99,"Nov 16, 2023",Action|Simulation|Strategy,Single-player|Multi-player|PvP|Online PvP|Co-op|Online Co-op|Cross-Platform Multiplayer|Steam Achievements|Full controller support|Captions available|Steam Cloud,2026-02-27T20:39:54+00:00
1875830,FALSE,59.99,"Jun 13, 2024",Adventure|RPG,Single-player|Steam Achievements|Full controller support|Steam Cloud|Family Sharing,2026-02-27T20:39:54+00:00
1876890,FALSE,24.99,"Sep 14, 2023",Adventure|Indie|RPG|Strategy,Single-player|Steam Achievements|Partial Controller Support|Steam Cloud|Family Sharing,2026-02-27T20:39:55+00:00
1877960,TRUE,,"May 2, 2022",Casual|Free To Play|Indie|Strategy,Single-player|Steam Achievements|In-App Purchases|Steam Cloud,2026-02-27T20:39:56+00:00
